year,iso_i,iso_j,exports,imports,dist,distw,distcap,distwces,cont,lang,ccol,crel,rta,gdp_i,gdp_pcap_i,gdp_j,gdp_pcap_j
2010,GTM,BLZ,48080201,7109740,341.203,397.851,341.203,382.899,1,1,0,0.634,0,40676432028.5934,2852.54732650116,1377177100,4270.78008466035
2011,GTM,BLZ,50337165,6208124,341.203,397.851,341.203,382.899,1,1,0,0.634,0,46876114650.4996,3228.0457411296,1460797903.23406,4423.4968423614
2012,GTM,BLZ,53857072,5226012,341.203,397.851,341.203,382.899,1,1,0,0.634,0,49593961141.7484,3355.03691881272,1522897506.07849,4505.60059312987
2013,GTM,BLZ,65675991,5076716,341.203,397.851,341.203,382.899,1,1,0,0.634,0,52996540703.5943,3522.77370621475,1579411253.00514,4568.64122799115
2014,GTM,BLZ,91168033,7589100,341.203,397.851,341.203,382.899,1,1,0,0.634,0,57852399963.7878,3779.64233613025,1667335060.96064,4718.43658122355
2015,GTM,BLZ,85532830,5620763,341.203,397.851,341.203,382.899,1,1,0,0.634,0,62186186575.7433,3994.63691288475,1721700991.46912,4770.23265563888
2016,GTM,BLZ,70893600,6015086,341.203,397.851,341.203,382.899,1,1,0,0.634,0,66053725049.0138,4173.30166619474,1789304087.78561,4856.97324853112
2017,GTM,BLZ,71823005,9698430,341.203,397.851,341.203,382.899,1,1,0,0.634,0,71654134378.5299,4454.04814983548,1858529676.71857,4945.85769867226
2018,GTM,BLZ,87721228,7267126,341.203,397.851,341.203,382.899,1,1,0,0.634,0,73208583758.9105,4478.42464550944,1915899786.96407,5001.42215663433
2019,GTM,BLZ,102592424,5213204,341.203,397.851,341.203,382.899,1,1,0,0.634,0,77020015201.3201,4638.63494319511,1982518540.6134,5078.80994441772
2020,GTM,BLZ,78761758,5345136,341.203,397.851,341.203,382.899,1,1,0,0.634,0,77604632170.5853,4603.33961670975,1636280797.08056,4115.17700795622
1995,GTM,BOL,17859,6524,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,14655404433.2771,1424.68254256258,6715220507.05164,880.992686367672
1996,GTM,BOL,290535,66201,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,15674835615.3139,1487.60765839974,7396966657.47054,950.856386162623
1997,GTM,BOL,1042432,26912,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,17790026221.6139,1649.00160206099,7925673448.41368,998.515953217447
1998,GTM,BOL,129271,11891,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,19395491992.9939,1755.84958223191,8497545598.08352,1049.49937364874
1999,GTM,BOL,63304,133842,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,18318412251.3642,1619.51073552531,8285075872.27307,1003.39223063895
2000,GTM,BOL,54128,52505,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,19288827158.9035,1664.29895827045,8397912509.09679,997.581748874387
2001,GTM,BOL,57546,131630,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,18405203853.1036,1550.36036555447,8141537937.61068,948.870211337892
2002,GTM,BOL,46868,84455,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,20444205991.025,1682.99450068936,7905485216.17852,904.225799882294
2003,GTM,BOL,101651,2810648,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,21576351798.9145,1737.87928692973,8082364868.39357,907.537415801528
2004,GTM,BOL,299076,322406,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,23577286226.6407,1859.098363351,8773451738.91129,967.406458598204
2005,GTM,BOL,272083,340063,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,26783543667.064,2068.50012859333,9549077869.10651,1034.31180039586
2006,GTM,BOL,332295,129770,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,29744368110.9094,2251.08796275499,11451869164.7112,1218.87407027713
2007,GTM,BOL,675128,432907,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,33567868322.6252,2490.74912665208,13120183156.7149,1372.62836843372
2008,GTM,BOL,1363666,98823,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,38503862830.6878,2802.46196190125,16674324634.2373,1715.2083925524
2009,GTM,BOL,1595720,3303909,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,37125943564.9873,2651.81712283814,17339992165.2422,1754.20946375615
2010,GTM,BOL,1041889,146355,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,40676432028.5934,2852.54732650116,19649631314.0482,1955.46018156049
2011,GTM,BOL,1002966,324374,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,46876114650.4996,3228.0457411296,23963033430.5954,2346.33784403698
2012,GTM,BOL,1175231,179875,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,49593961141.7484,3355.03691881272,27084497482.8616,2609.880562178
2013,GTM,BOL,1986356,172863,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,52996540703.5943,3522.77370621475,30659338880.3786,2908.2003704458
2014,GTM,BOL,1727049,2030554,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,57852399963.7878,3779.64233613025,32996188012.6821,3081.87882321413
2015,GTM,BOL,1175902,300714,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,62186186575.7433,3994.63691288475,33000198248.3362,3035.97165489786
2016,GTM,BOL,2182273,311703,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,66053725049.0138,4173.30166619474,33941126200.0606,3076.65643989367
2017,GTM,BOL,2225934,396044,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,71654134378.5299,4454.04814983548,37508642165.3366,3351.12434384125
2018,GTM,BOL,3136340,67957,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,73208583758.9105,4478.42464550944,40287647930.4761,3548.59078021377
2019,GTM,BOL,5140725,209400,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,77020015201.3201,4638.63494319511,40895322843.7851,3552.06814321502
2020,GTM,BOL,5972975,199328,4247.32,4496.198,4663.383,4483.413,0,1,0,0.871,0,77604632170.5853,4603.33961670975,36572764862.8234,3133.09980321504
1995,GTM,BRA,946700,50805880,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,14655404433.2771,1424.68254256258,769333330368.987,4748.38820787605
1996,GTM,BRA,1889491,42792653,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,15674835615.3139,1487.60765839974,850426433004.077,5166.16393308148
1997,GTM,BRA,3707538,38911257,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,17790026221.6139,1649.00160206099,883206452795.124,5282.04946994988
1998,GTM,BRA,339240,61997247,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,19395491992.9939,1755.84958223191,863711007325.493,5087.07907232375
1999,GTM,BRA,855645,57835937,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,18318412251.3642,1619.51073552531,599642075004.471,3479.84383285395
2000,GTM,BRA,373971,67306916,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,19288827158.9035,1664.29895827045,655448188259.351,3749.91084752888
2001,GTM,BRA,251063,63152992,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,18405203853.1036,1550.36036555447,559983704094.17,3160.24934491441
2002,GTM,BRA,580652,78842998,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,20444205991.025,1682.99450068936,509795270685.19,2839.49150108966
2003,GTM,BRA,539867,119897410,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,21576351798.9145,1737.87928692973,558233724164.711,3070.43641941942
2004,GTM,BRA,884534,163553703,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,23577286226.6407,1859.098363351,669289321944.516,3637.3138901512
2005,GTM,BRA,2178721,432487714,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,26783543667.064,2068.50012859333,891633826603.377,4790.45656586131
2006,GTM,BRA,1965011,375569726,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,29744368110.9094,2251.08796275499,1107626711406.63,5886.39152194816
2007,GTM,BRA,14318545,308715052,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,33567868322.6252,2490.74912665208,1397114247331.17,7348.18796290712
2008,GTM,BRA,18976242,268794366,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,38503862830.6878,2802.46196190125,1695855391810.9,8831.18364277674
2009,GTM,BRA,14324723,279102959,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,37125943564.9873,2651.81712283814,1666996294372.87,8597.79433526264
2010,GTM,BRA,13216132,232906587,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,40676432028.5934,2852.54732650116,2208838108577.09,11286.071540212
2011,GTM,BRA,21052007,274690216,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,46876114650.4996,3228.0457411296,2616156606666.62,13245.387369564
2012,GTM,BRA,11091484,250791343,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,49593961141.7484,3355.03691881272,2465228293894.01,12370.2232548476
2013,GTM,BRA,16305580,249339043,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,52996540703.5943,3522.77370621475,2472819362216.69,12300.3867121004
2014,GTM,BRA,19138114,202374561,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,57852399963.7878,3779.64233613025,2456043766028.73,12112.8349554875
2015,GTM,BRA,20043254,226976052,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,62186186575.7433,3994.63691288475,1802211999538.68,8813.98980647828
2016,GTM,BRA,36080907,215107178,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,66053725049.0138,4173.30166619474,1795693265810.23,8710.06328995352
2017,GTM,BRA,36946231,287562245,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,71654134378.5299,4454.04814983548,2063514688761.98,9928.67589653405
2018,GTM,BRA,44409082,267385291,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,73208583758.9105,4478.42464550944,1916933708381.89,9151.38173161536
2019,GTM,BRA,32094326,321729857,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,77020015201.3201,4638.63494319511,1877824273720.78,8897.55296585529
2020,GTM,BRA,40644855,293507175,6390.672,6234.895,5779.934,6159.761,0,0,0,0.827,0,77604632170.5853,4603.33961670975,1444733258971.65,6796.84454227877
1995,GTM,BRB,2165031,964660,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,14655404433.2771,1424.68254256258,2216974096.35559,8335.89929257052
1996,GTM,BRB,3263339,7964,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,15674835615.3139,1487.60765839974,2363645403.47039,8851.04645800324
1997,GTM,BRB,3586577,20385,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,17790026221.6139,1649.00160206099,2498384129.66738,9315.96756568231
1998,GTM,BRB,5073353,56928,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,19395491992.9939,1755.84958223191,2817083478.34734,10459.4424704914
1999,GTM,BRB,4019479,99695,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,18318412251.3642,1619.51073552531,2951822204.54432,10914.2822448996
2000,GTM,BRB,3938557,2075902,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,19288827158.9035,1664.29895827045,3059500000,11268.4200640121
2001,GTM,BRB,1377557,86819791,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,18405203853.1036,1550.36036555447,3054500000,11209.4211248688
2002,GTM,BRB,715015,116985883,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,20444205991.025,1682.99450068936,3106500000,11361.5167707179
2003,GTM,BRB,355884,167793462,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,21576351798.9145,1737.87928692973,3209500000,11699.3704685216
2004,GTM,BRB,1707910,246691975,3340.769,3359.491,3340.769,3358.599,0,0,0,0.072,0,23577286226.6407,1859.098363351,3444500000,12512.5779652212
